location,size,total_sqft,bath,price,bhk,price_per_sqft
Garudachar Palya,2 BHK,1150.0,2.0,52.75,2,458.69565217391306
Kodbisanhalli,4 Bedroom,4800.0,5.0,629.0,4,1310.4166666666667
R.T. Nagar,2 BHK,1040.0,2.0,46.0,2,442.3076923076923
Banashankari,2 BHK,1310.0,2.0,80.0,2,610.6870229007634
Uttarahalli,3 BHK,1788.0,3.0,98.34,3,550.0
Raja Rajeshwari Nagar,2 BHK,1144.0,2.0,38.55,2,336.9755244755245
Anjanapura,2 BHK,1070.0,2.0,39.0,2,364.4859813084112
Nandini Layout,2 BHK,1200.0,2.0,70.0,2,583.3333333333334
Ambedkar Nagar,3 BHK,1862.0,3.0,120.0,3,644.468313641246
Margondanahalli,2 Bedroom,1200.0,2.0,58.5,2,487.5
Begur Road,2 BHK,970.0,2.0,27.0,2,278.35051546391753
Kasavanhalli,3 BHK,1646.0,3.0,79.5,3,482.9890643985419
Sarjapur  Road,4 BHK,4395.0,4.0,242.0,4,550.6257110352674
Vibhutipura Extension,5 Bedroom,1200.0,4.0,100.0,5,833.3333333333334
Iblur Village,3 BHK,1995.0,3.0,135.0,3,676.6917293233083
1st Block Jayanagar,4 Bedroom,2400.0,4.0,450.0,4,1875.0
Hosakerehalli,2 BHK,1085.0,2.0,47.74,2,440.0
Budigere,2 BHK,1139.0,2.0,56.8,2,498.6830553116769
Haralur Road,2 BHK,1092.0,2.0,44.0,2,402.9304029304029
Pattandur Agrahara,3 BHK,1767.0,3.0,98.0,3,554.61233729485
HMT Layout,3 BHK,1700.0,3.0,80.0,3,470.5882352941176
Bellandur,3 BHK,1692.0,3.0,88.0,3,520.0945626477542
6th Phase JP Nagar,3 BHK,1645.0,3.0,100.0,3,607.90273556231
Uttarahalli,3 BHK,1345.0,2.0,57.0,3,423.7918215613383
Basapura,2 BHK,1100.0,2.0,60.0,2,545.4545454545455
Gollarapalya Hosahalli,3 BHK,1408.0,3.0,62.0,3,440.34090909090907
Banashankari Stage III,4 Bedroom,2400.0,4.0,240.0,4,1000.0
Kadugodi,4 Bedroom,1920.0,4.0,200.0,4,1041.6666666666667
Bileshivale,5 Bedroom,6040.0,4.0,170.0,5,281.4569536423841
Thigalarapalya,3 BHK,2072.0,4.0,150.0,3,723.9382239382239
Malleshwaram,2 BHK,1420.0,2.0,158.0,2,1112.6760563380283
Electronics City Phase 1,3 Bedroom,2040.0,3.0,137.0,3,671.5686274509804
Sarjapur  Road,3 BHK,1220.0,3.0,56.0,3,459.0163934426229
8th Phase JP Nagar,4 Bedroom,1200.0,4.0,145.0,4,1208.3333333333333
B Channasandra,2 BHK,1300.0,2.0,79.0,2,607.6923076923077
Electronics City Phase 1,2 BHK,1150.0,2.0,39.0,2,339.1304347826087
KR Puram,2 BHK,1470.0,2.0,86.0,2,585.0340136054422
Hosa Road,2 BHK,1063.0,2.0,31.9,2,300.0940733772342
Harappanahalli,2 BHK,1311.0,2.0,48.0,2,366.13272311212813
Dollars Colony,4 BHK,3500.0,4.0,350.0,4,1000.0
Nagarbhavi,4 Bedroom,600.0,2.0,100.0,4,1666.6666666666667
Arehalli,3 BHK,1400.0,2.0,55.0,3,392.85714285714283
Kanakpura Road,2 Bedroom,2200.0,2.0,62.0,2,281.8181818181818
Thanisandra,3 BHK,1430.0,2.0,56.0,3,391.6083916083916
Vidyaranyapura,2 BHK,1060.0,2.0,55.0,2,518.8679245283018
Cambridge  road,3 BHK,1000.0,2.0,110.0,3,1100.0
Sector 7 HSR Layout,3 BHK,1760.0,3.0,145.0,3,823.8636363636364
Whitefield,3 BHK,2010.0,3.0,92.0,3,457.71144278606965
Kanakpura Road,3 BHK,1480.0,2.0,64.23,3,433.9864864864865
8th Phase JP Nagar,3 BHK,1230.0,2.0,43.5,3,353.6585365853659
Gottigere,3 BHK,1300.0,3.0,65.0,3,500.0
Vajarahalli,4 Bedroom,800.0,4.0,120.0,4,1500.0
Frazer Town,4 BHK,4850.0,6.0,385.0,4,793.8144329896908
Singasandra,2 BHK,1100.0,2.0,52.0,2,472.72727272727275
Harlur,3 BHK,1752.12,3.0,116.0,3,662.0551103805676
Marathahalli,2 BHK,957.0,2.0,46.9,2,490.07314524555903
Balagere,1 BHK,790.5,1.0,41.9,1,530.044275774826
Hennur Gardens,3 BHK,1942.0,3.0,102.0,3,525.231719876416
Ashirvad Colony,2 BHK,1000.0,2.0,53.0,2,530.0
Yeshwanthpur,1 BHK,668.0,1.0,36.85,1,551.6467065868263
Cholanayakanahalli,5 Bedroom,3000.0,6.0,1000.0,5,3333.3333333333335
Nagarbhavi,3 Bedroom,600.0,2.0,80.0,3,1333.3333333333333
Uttarahalli,2 BHK,1089.0,2.0,43.55,2,399.90817263544534
Thanisandra,3 BHK,1800.0,3.0,90.0,3,500.0
Yelahanka New Town,1 BHK,960.0,2.0,18.0,1,187.5
Yelahanka,2 BHK,1036.0,2.0,39.35,2,379.82625482625485
Marathahalli,3 BHK,1583.0,3.0,105.0,3,663.2975363234365
7th Phase JP Nagar,4 Bedroom,3300.0,4.0,150.0,4,454.54545454545456
Padmanabhanagar,2 BHK,1100.0,2.0,65.0,2,590.9090909090909
Thyagaraja Nagar,1 Bedroom,800.0,1.0,100.0,1,1250.0
Vittasandra,2 BHK,1246.0,2.0,65.0,2,521.669341894061
Dodda Nekkundi,2 BHK,850.0,2.0,28.0,2,329.4117647058824
Raja Rajeshwari Nagar,2 BHK,1196.0,2.0,51.51,2,430.685618729097
Thanisandra,3 BHK,1697.0,3.0,114.0,3,671.7737183264585
TC Palaya,2 Bedroom,1000.0,2.0,64.0,2,640.0
HRBR Layout,3 BHK,1567.0,3.0,90.0,3,574.345883854499
Anekal,2 Bedroom,1200.0,1.0,36.0,2,300.0
Sarjapur  Road,4 Bedroom,3750.0,6.0,290.0,4,773.3333333333334
Veerannapalya,2 BHK,950.0,2.0,45.0,2,473.6842105263158
Howthinarayanappa Garden,2 BHK,1022.0,2.0,52.0,2,508.80626223091974
Kammasandra,2 BHK,1018.0,2.0,23.45,2,230.35363457760315
Basavanagara,4 Bedroom,2000.0,3.0,25.0,4,125.0
Bharathi Nagar,2 BHK,1322.0,2.0,68.0,2,514.3721633888049
Marsur,4 Bedroom,1800.0,4.0,145.0,4,805.5555555555555
Doddakallasandra,3 BHK,1460.0,2.0,58.39,3,399.93150684931504
SRINIVASAPURA,2 BHK,990.0,2.0,44.55,2,450.0
Cambridge Layout,3 BHK,2400.0,3.0,260.0,3,1083.3333333333333
Whitefield,3 BHK,1635.0,2.0,85.0,3,519.8776758409786
Rajaji Nagar,4 BHK,3526.0,4.0,558.0,4,1582.52977878616
Padmanabhanagar,4 Bedroom,3400.0,3.0,210.0,4,617.6470588235294
Ramakrishnappa Layout,3 BHK,2770.0,3.0,460.0,3,1660.6498194945848
EPIP Zone,4 BHK,3035.0,5.0,200.0,4,658.9785831960461
Maragondanahalli,3 BHK,1533.0,3.0,85.0,3,554.4683626875408
Akshaya Nagar,3 BHK,1720.0,3.0,134.0,3,779.0697674418604
Frazer Town,3 BHK,2000.0,3.0,200.0,3,1000.0
Yeshwanthpur,2 BHK,1185.0,2.0,75.84,2,640.0
Varthur Road,2 BHK,900.0,2.0,27.0,2,300.0
Attibele,1 BHK,395.0,1.0,10.25,1,259.49367088607596
Electronic City Phase II,2 BHK,1031.0,2.0,56.35,2,546.556741028128
3rd Block Banashankari,6 Bedroom,2400.0,8.0,650.0,6,2708.3333333333335
Thanisandra,4 BHK,2650.0,4.0,240.0,4,905.6603773584906
Basaveshwara Nagar,5 Bedroom,2400.0,5.0,415.0,5,1729.1666666666667
Uttarahalli,3 BHK,1330.0,2.0,46.55,3,350.0
Hennur,2 BHK,1259.0,2.0,57.0,2,452.7402700555997
Raja Rajeshwari Nagar,3 BHK,1570.0,3.0,88.0,3,560.5095541401274
Bisuvanahalli,3 BHK,1075.0,2.0,36.0,3,334.8837209302326
Whitefield,2 BHK,1216.0,2.0,79.0,2,649.671052631579
Sarjapur  Road,3 BHK,1428.0,2.0,66.0,3,462.1848739495798
Begur Road,2 BHK,1160.0,2.0,40.59,2,349.9137931034483
 ittamadu,3 Bedroom,600.0,2.0,110.0,3,1833.3333333333333
Doddakannelli,3 BHK,1475.0,3.0,70.0,3,474.5762711864407
Harlur,3 BHK,1754.0,3.0,135.0,3,769.6693272519955
Rayasandra,3 BHK,1639.0,3.0,83.0,3,506.40634533251983
Hennur Road,3 BHK,1804.0,3.0,102.0,3,565.410199556541
Whitefield,3 Bedroom,1200.0,3.0,56.2,3,468.3333333333333
Anand Nagar,2 BHK,1135.0,2.0,55.0,2,484.5814977973568
Begur Road,2 BHK,1260.0,2.0,46.62,2,370.0
Peenya,5 Bedroom,1440.0,5.0,110.0,5,763.8888888888889
Hennur Road,3 BHK,2160.0,3.0,160.0,3,740.7407407407408
Rayasandra,7 Bedroom,700.0,6.0,85.0,7,1214.2857142857142
Rachenahalli,2 BHK,1220.0,2.0,59.5,2,487.7049180327869
Margondanahalli,2 Bedroom,1200.0,2.0,67.0,2,558.3333333333334
Yelahanka,2 BHK,1300.0,2.0,65.0,2,500.0
Cox Town,1 BHK,605.0,1.0,29.0,1,479.3388429752066
Vijayanagar,6 Bedroom,1230.0,4.0,210.0,6,1707.3170731707316
Bhoganhalli,2 BHK,1444.0,2.0,75.97,2,526.1080332409972
Amruthahalli,2 BHK,924.0,2.0,45.0,2,487.012987012987
Kaikondrahalli,2 BHK,1000.0,2.0,30.0,2,300.0
Vishveshwarya Layout,4 Bedroom,600.0,4.0,95.0,4,1583.3333333333333
Patelappa Layout,3 Bedroom,1200.0,3.0,225.0,3,1875.0
Bisuvanahalli,2 BHK,845.0,2.0,29.0,2,343.1952662721894
Kanakpura Road,2 BHK,700.0,2.0,35.0,2,500.0
Kothanur,2 BHK,1187.0,2.0,58.0,2,488.6267902274642
Kaggadasapura,3 BHK,1625.0,3.0,55.0,3,338.46153846153845
 Devarachikkanahalli,2 Bedroom,1200.0,2.0,83.0,2,691.6666666666666
Pulkeshi Nagar,2 BHK,1452.55,2.0,110.0,2,757.2889057175313
"Thanisandra Main Road, ",3 BHK,2357.0,3.0,151.0,3,640.6448875689435
Kaval Byrasandra,2 BHK,1200.0,2.0,49.5,2,412.5
Budigere,2 BHK,1139.0,2.0,56.85,2,499.1220368744513
Basavangudi,1 Bedroom,600.0,1.0,97.5,1,1625.0
Kanakpura Road,3 BHK,1660.0,3.0,75.0,3,451.8072289156627
Jayanagar,2 BHK,1170.0,2.0,105.0,2,897.4358974358975
Somasundara Palya,2 BHK,1448.0,2.0,68.0,2,469.6132596685083
Kadugodi,3 BHK,1762.0,3.0,110.0,3,624.2905788876277
Kaggadasapura,2 BHK,1105.0,2.0,38.65,2,349.7737556561086
Yelahanka,3 BHK,1825.0,3.0,105.0,3,575.3424657534247
 Bhoganhalli,1 RK,296.0,1.0,22.89,1,773.3108108108108
Kumbalgodu,5 Bedroom,1200.0,4.0,85.0,5,708.3333333333334
Thanisandra,2 BHK,1185.0,2.0,43.0,2,362.8691983122363
Electronic City Phase II,3 BHK,1320.0,2.0,38.12,3,288.7878787878788
Hulimavu,2 BHK,1058.0,2.0,48.0,2,453.6862003780718
Bellandur,2 BHK,1220.0,2.0,60.0,2,491.8032786885246
Sarjapur,2 BHK,925.0,2.0,25.0,2,270.27027027027026
Old Madras Road,2 BHK,1200.0,2.0,72.0,2,600.0
Kengeri,3 BHK,1160.0,2.0,40.6,3,350.0
Kengeri Satellite Town,3 Bedroom,600.0,4.0,72.0,3,1200.0
banashankari stage iii sa,3 BHK,1411.0,3.0,91.72,3,650.0354358610914
Bannerghatta Road,3 BHK,1550.0,3.0,78.0,3,503.2258064516129
Green Glen Layout,4 BHK,3250.0,4.0,230.0,4,707.6923076923077
Haralur Road,3 BHK,2475.0,4.0,130.0,3,525.2525252525253
7th Phase JP Nagar,4 BHK,2503.0,4.0,188.0,4,751.0986815821014
Marathahalli,4 BHK,2524.0,5.0,190.0,4,752.7733755942947
Kaggadasapura,2 BHK,1063.0,2.0,42.0,2,395.1081843838194
Kanakpura Road,2 BHK,1077.0,2.0,37.7,2,350.04642525533893
Manayata Tech Park,2 BHK,1200.0,3.0,44.0,2,366.6666666666667
Hosakerehalli,4 BHK,1500.0,3.0,70.0,4,466.6666666666667
Jalahalli,2 BHK,1045.0,2.0,76.77,2,734.6411483253588
Kanakapura,3 BHK,1290.0,2.0,45.15,3,350.0
Hoodi,2 BHK,1400.0,2.0,78.0,2,557.1428571428571
Begur Road,3 BHK,1600.0,3.0,58.14,3,363.375
Jayanagar,3 BHK,3095.0,3.0,375.0,3,1211.631663974152
Nagavara,3 BHK,1545.0,2.0,58.0,3,375.40453074433657
Sarjapur  Road,3 BHK,1680.0,3.0,112.0,3,666.6666666666666
Amruthnagar,2 BHK,1350.0,2.0,67.5,2,500.0
Gottigere,2 BHK,950.0,2.0,38.0,2,400.0
Thanisandra,2 BHK,1050.0,2.0,45.0,2,428.57142857142856
Banashankari Stage V,3 BHK,1305.0,2.0,49.0,3,375.47892720306515
Hosakerehalli,4 Bedroom,800.0,4.0,120.0,4,1500.0
Kodichikkanahalli,5 BHK,2700.0,7.0,125.0,5,462.962962962963
MS Pallya,3 Bedroom,1100.0,3.0,78.0,3,709.0909090909091
Thanisandra,6 Bedroom,3500.0,5.0,160.0,6,457.14285714285717
Begur Road,3 BHK,1634.0,3.0,83.33,3,509.97552019583844
Prithvi Layout,2 BHK,1352.0,2.0,85.0,2,628.698224852071
Balagere,2 BHK,1145.0,2.0,65.0,2,567.6855895196506
Alfa Garden Layout,2 BHK,1240.0,2.0,43.79,2,353.14516129032256
7th Phase JP Nagar,3 BHK,2200.0,3.0,190.0,3,863.6363636363636
Bommasandra Industrial Area,2 BHK,1020.0,2.0,39.0,2,382.3529411764706
Palace Guttahalli,4 BHK,3600.0,4.0,365.0,4,1013.8888888888889
Raja Rajeshwari Nagar,2 BHK,1168.0,2.0,61.0,2,522.2602739726027
Electronic City Phase II,2 BHK,1205.0,2.0,75.0,2,622.4066390041494
Yeshwanthpur,2 BHK,1195.0,2.0,100.0,2,836.8200836820083
CV Raman Nagar,2 BHK,1028.0,2.0,49.0,2,476.6536964980545
Akshya Nagar,2 BHK,1175.0,2.0,48.27,2,410.80851063829795
Pai Layout,3 BHK,1550.0,2.0,90.0,3,580.6451612903226
Yeshwanthpur,3 BHK,1826.0,3.0,165.0,3,903.6144578313254
Hoodi,5 Bedroom,2400.0,5.0,160.0,5,666.6666666666666
Yelahanka,3 BHK,1603.0,3.0,96.0,3,598.8771054273237
Marathahalli,3 BHK,1350.0,3.0,72.0,3,533.3333333333334
KR Puram,1 BHK,714.0,1.0,28.0,1,392.15686274509807
Whitefield,2 BHK,1215.0,2.0,65.0,2,534.9794238683128
Malleshpalya,3 BHK,1405.0,2.0,77.0,3,548.0427046263345
KR Puram,2 BHK,1142.0,2.0,51.0,2,446.58493870402805
Akshaya Vana,4 Bedroom,4000.0,4.0,170.0,4,425.0
Whitefield,3 BHK,1870.0,3.0,90.0,3,481.2834224598931
Subramanyapura,2 BHK,1313.0,2.0,73.0,2,555.9786747905559
Hennur Gardens,3 BHK,1945.0,3.0,120.0,3,616.9665809768637
Thanisandra,3 BHK,1573.0,3.0,95.0,3,603.9415130324221
Sarjapur  Road,2 BHK,1255.0,2.0,92.0,2,733.0677290836653
Benson Town,4 BHK,1400.0,3.0,91.15,4,651.0714285714286
Kannamangala,2 BHK,1235.0,2.0,43.63,2,353.2793522267207
Sarjapur  Road,3 BHK,1380.0,2.0,52.0,3,376.81159420289856
Ramamurthy Nagar,7 Bedroom,1500.0,9.0,250.0,7,1666.6666666666667
Vittasandra,2 BHK,1238.0,2.0,67.0,2,541.1954765751211
Chennammana Kere,3 BHK,1465.0,2.0,74.72,3,510.0341296928328
Thigalarapalya,2 BHK,1418.0,2.0,103.0,2,726.3751763046545
Victoria Layout,3 BHK,1650.0,3.0,165.0,3,1000.0
 Anekal,1 RK,351.0,1.0,16.0,1,455.84045584045583
Uttarahalli,2 BHK,1279.0,2.0,48.0,2,375.2931978107897
Kasavanhalli,3 Bedroom,1870.0,3.0,200.0,3,1069.51871657754
BCC Layout,4 Bedroom,1500.0,5.0,230.0,4,1533.3333333333333
Hebbal,3 BHK,2526.0,2.0,250.0,3,989.7070467141726
Mathikere,3 Bedroom,1550.0,2.0,150.0,3,967.741935483871
Uttarahalli,3 BHK,1845.0,2.0,68.27,3,370.0271002710027
Motappa Layout,3 BHK,1360.0,2.0,59.27,3,435.80882352941177
Friends Colony,3 BHK,1150.0,2.0,75.0,3,652.1739130434783
Whitefield,2 BHK,1260.0,2.0,49.5,2,392.85714285714283
Doddabidrakallu,3 Bedroom,1200.0,3.0,74.0,3,616.6666666666666
Dasanapura,2 BHK,965.0,2.0,42.5,2,440.4145077720207
Hoodi,3 BHK,1350.0,2.0,48.0,3,355.55555555555554
Bhoganhalli,2 BHK,1447.0,2.0,75.97,2,525.0172771250864
Arehalli,3 BHK,1229.0,3.0,86.03,3,700.0
Kudlu,2 BHK,1027.0,2.0,43.0,2,418.6952288218111
Gottigere,2 BHK,1153.0,2.0,48.5,2,420.64180398959235
Whitefield,4 BHK,2856.0,5.0,145.5,4,509.453781512605
Malleshpalya,2 BHK,1065.0,2.0,50.0,2,469.4835680751174
Tala Cauvery Layout,2 BHK,1030.0,2.0,61.0,2,592.2330097087379
Mallasandra,2 BHK,1340.0,2.0,61.0,2,455.2238805970149
Marathahalli,4 BHK,4000.0,5.0,212.0,4,530.0
Sri Balaji Krupa Layout,1 Bedroom,600.0,1.0,32.0,1,533.3333333333334
Begur Road,3 BHK,1410.0,2.0,44.42,3,315.0354609929078
Varthur,2 BHK,1055.0,2.0,45.35,2,429.85781990521326
Yelahanka,2 BHK,1304.0,2.0,79.0,2,605.8282208588957
Sadashiva Nagar,4 BHK,2720.0,4.0,485.0,4,1783.0882352941176
Kammasandra,2 BHK,990.0,2.0,31.5,2,318.1818181818182
7th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2,380.0
Tumkur Road,1 BHK,700.0,1.0,30.09,1,429.85714285714283
Sonnenahalli,2 BHK,1120.0,2.0,43.0,2,383.92857142857144
Haralur Road,2 BHK,1300.0,2.0,73.0,2,561.5384615384615
Tumkur Road,2 BHK,1239.0,2.0,82.0,2,661.8240516545601
Sarjapur  Road,3 BHK,1403.0,3.0,51.63,3,367.99714896650033
Hosa Road,2 BHK,1365.0,2.0,92.0,2,673.992673992674
8th block Koramangala,2 BHK,1165.0,2.0,135.0,2,1158.7982832618027
Subramanyapura,3 BHK,1130.0,2.0,45.19,3,399.91150442477874
Green Glen Layout,3 BHK,1776.42,3.0,105.0,3,591.0764346269463
Vidyaranyapura,4 Bedroom,900.0,4.0,175.0,4,1944.4444444444443
Haralur Road,2 BHK,1194.0,2.0,47.0,2,393.63484087102177
Bidadi,2 BHK,1107.0,2.0,33.0,2,298.1029810298103
Nagavara,3 BHK,2319.0,3.0,180.0,3,776.196636481242
Nallurhalli,3 BHK,1520.0,3.0,80.0,3,526.3157894736842
Kannamangala,3 BHK,1536.0,3.0,89.0,3,579.4270833333334
Teachers Colony,4 BHK,3000.0,4.0,240.0,4,800.0
Belathur,2 BHK,1050.0,2.0,38.0,2,361.9047619047619
Hoodi,3 BHK,1850.0,3.0,146.0,3,789.1891891891892
Billekahalli,2 BHK,1112.0,2.0,62.0,2,557.5539568345324
Marathahalli,3 BHK,1535.0,3.0,72.5,3,472.3127035830619
Kanakpura Road,2 BHK,1050.0,2.0,35.0,2,333.3333333333333
Banashankari,4 Bedroom,2400.0,3.0,370.0,4,1541.6666666666667
7th Phase JP Nagar,3 BHK,1250.0,3.0,65.0,3,520.0
Kalena Agrahara,2 BHK,1187.0,2.0,52.0,2,438.0791912384162
9th Phase JP Nagar,2 BHK,1164.0,2.0,56.0,2,481.0996563573883
Electronic City Phase II,3 BHK,1395.0,2.0,62.78,3,450.0358422939068
Arekere,3 BHK,2072.0,3.0,108.0,3,521.2355212355212
Kanakpura Road,3 BHK,1450.0,3.0,60.91,3,420.0689655172414
Bannerghatta Road,3 BHK,1550.0,3.0,82.0,3,529.0322580645161
Sampige Layout,2 BHK,1315.0,2.0,90.0,2,684.4106463878327
Hebbal,4 BHK,3067.0,4.0,230.0,4,749.9184871209651
Amruthnagar,2 BHK,1210.0,2.0,72.0,2,595.0413223140496
Bisuvanahalli,3 BHK,1075.0,2.0,47.0,3,437.2093023255814
Sathya Sai Layout,6 BHK,11338.0,9.0,1000.0,6,881.9897689186805
Virgonagar,3 BHK,1215.0,3.0,42.2,3,347.32510288065845
Kaggadasapura,3 BHK,1470.0,2.0,75.0,3,510.2040816326531
Dodsworth Layout,4 Bedroom,30000.0,4.0,2100.0,4,700.0
Hosur Road,3 BHK,1590.0,2.0,125.0,3,786.1635220125786
Kanakpura Road,2 BHK,1050.0,2.0,36.75,2,350.0
Raja Rajeshwari Nagar,2 BHK,1306.0,2.0,55.91,2,428.1010719754977
Malleshwaram,3 BHK,2000.0,3.0,250.0,3,1250.0
"Kudlu Village, ",3 BHK,1445.0,3.0,64.0,3,442.9065743944637
Sarjapur  Road,3 BHK,1220.0,3.0,58.0,3,475.40983606557376
Sarjapur,4 Bedroom,3190.0,3.0,160.0,4,501.56739811912223
Ramagondanahalli,2 BHK,1215.0,2.0,51.26,2,421.89300411522635
Budigere,3 BHK,1920.0,2.0,88.0,3,458.3333333333333
Dodda Nekkundi,2 BHK,1390.0,2.0,60.0,2,431.6546762589928
Battarahalli,3 Bedroom,800.0,2.0,75.0,3,937.5
Nagarbhavi,3 Bedroom,600.0,3.0,100.0,3,1666.6666666666667
Hoodi,2 BHK,1196.0,2.0,71.74,2,599.8327759197324
Bannerghatta Road,3 BHK,1550.0,2.0,75.0,3,483.8709677419355
Thigalarapalya,2 BHK,1418.0,2.0,101.0,2,712.2708039492243
Varthur Road,3 BHK,1655.0,3.0,115.0,3,694.8640483383685
KR Puram,2 BHK,1115.0,2.0,33.45,2,300.0
Rajiv Gandhi Nagar,2 BHK,1170.0,2.0,68.0,2,581.1965811965812
Anekal,2 BHK,1035.0,2.0,38.3,2,370.048309178744
Singasandra,3 BHK,1306.0,2.0,58.0,3,444.104134762634
Kengeri,2 BHK,750.0,2.0,22.0,2,293.3333333333333
Thanisandra,3 BHK,1917.0,3.0,122.0,3,636.4110589462703
Kaggadasapura,3 BHK,1615.0,3.0,58.0,3,359.13312693498455
Marathahalli,2 BHK,1071.0,2.0,52.25,2,487.86181139122317
Koramangala,2 BHK,1325.0,2.0,119.0,2,898.1132075471698
Malleshwaram,7 Bedroom,3000.0,4.0,900.0,7,3000.0
5th Phase JP Nagar,3 BHK,1400.0,2.0,88.0,3,628.5714285714286
Tumkur Road,2 BHK,1246.0,2.0,82.0,2,658.1059390048154
Sarjapur,2 BHK,1215.0,2.0,40.0,2,329.2181069958848
Munnekollal,2 BHK,1200.0,2.0,49.5,2,412.5
Kurubarahalli,4 Bedroom,450.0,3.0,53.0,4,1177.7777777777778
Kodigehaali,2 BHK,1200.0,2.0,60.0,2,500.0
Kaval Byrasandra,2 BHK,945.0,2.0,50.0,2,529.1005291005291
Benson Town,4 BHK,4460.0,5.0,650.0,4,1457.3991031390135
Hormavu,2 BHK,1175.0,2.0,52.0,2,442.5531914893617
Whitefield,2 BHK,920.0,2.0,63.0,2,684.7826086956521
Hosakerehalli,4 BHK,3024.0,5.0,350.0,4,1157.4074074074074
Bidadi,2 Bedroom,1600.0,2.0,110.0,2,687.5
Sanjay nagar,4 Bedroom,750.0,2.0,110.0,4,1466.6666666666667
Sector 4 HSR Layout,4 Bedroom,2400.0,4.0,700.0,4,2916.6666666666665
Bhagyalakshmi Avenue,2 BHK,955.0,1.0,34.01,2,356.1256544502618
Ardendale,3 BHK,1750.0,3.0,100.0,3,571.4285714285714
Uttarahalli,3 BHK,1425.0,2.0,64.0,3,449.12280701754383
Basavangudi,3 BHK,2150.0,3.0,265.0,3,1232.5581395348838
Whitefield,2 BHK,1165.0,2.0,40.5,2,347.6394849785408
Kaggadasapura,2 BHK,1050.0,2.0,48.0,2,457.14285714285717
Cholanayakanahalli,3 BHK,1370.0,2.0,75.0,3,547.4452554744526
Electronic City,3 BHK,1374.0,2.0,72.0,3,524.0174672489082
Harlur,3 BHK,1754.0,3.0,124.0,3,706.9555302166476
Kothanur,3 BHK,1847.0,3.0,110.0,3,595.5603681645912
Ambedkar Nagar,3 BHK,1850.0,4.0,139.0,3,751.3513513513514
Chikka Tirupathi,3 Bedroom,3297.0,3.0,135.0,3,409.4631483166515
Doddakannelli,2 BHK,1187.0,2.0,45.0,2,379.10699241786017
Bommasandra Industrial Area,3 BHK,1400.0,2.0,40.44,3,288.85714285714283
Kengeri Hobli,3 Bedroom,600.0,2.0,30.0,3,500.0
Chamrajpet,2 BHK,1350.0,2.0,180.0,2,1333.3333333333333
Doddaballapur,3 Bedroom,3000.0,2.0,120.0,3,400.0
Thanisandra,1 BHK,693.0,1.0,34.3,1,494.949494949495
Dairy Circle,3 BHK,1980.0,3.0,224.0,3,1131.3131313131314
KR Puram,2 BHK,1021.0,2.0,48.0,2,470.1273261508325
Thigalarapalya,2 BHK,1165.0,2.0,95.0,2,815.450643776824
Horamavu Agara,3 BHK,1756.0,3.0,92.0,3,523.9179954441913
Bharathi Nagar,3 BHK,1739.0,3.0,105.0,3,603.7952846463485
Varthur,2 BHK,1280.0,2.0,65.0,2,507.8125
Marathahalli,2 BHK,1215.0,2.0,58.86,2,484.44444444444446
Munnekollal,2 BHK,950.0,2.0,46.5,2,489.4736842105263
Kengeri,3 BHK,1082.0,2.0,49.0,3,452.86506469500927
7th Phase JP Nagar,2 BHK,1050.0,2.0,42.0,2,400.0
Devanahalli,2 BHK,1080.0,2.0,53.35,2,493.98148148148147
Arekere,2 BHK,1100.0,2.0,55.0,2,500.0
Ardendale,4 Bedroom,3200.0,4.0,205.0,4,640.625
Sarjapur  Road,2 BHK,1311.0,2.0,78.0,2,594.9656750572083
Raja Rajeshwari Nagar,3 BHK,1608.0,3.0,67.98,3,422.76119402985074
Begur Road,2 BHK,1160.0,2.0,36.0,2,310.3448275862069
Whitefield,2 BHK,1170.0,2.0,71.0,2,606.8376068376068
Kengeri,2 BHK,1155.0,2.0,40.6,2,351.5151515151515
Hebbal,3 BHK,1255.0,2.0,77.68,3,618.9641434262949
Rayasandra,2 BHK,1065.0,2.0,44.95,2,422.0657276995305
Neeladri Nagar,1 BHK,674.0,1.0,21.0,1,311.5727002967359
Ambedkar Nagar,3 BHK,1936.0,4.0,126.0,3,650.8264462809917
Sarakki Nagar,3 BHK,2289.0,3.0,260.0,3,1135.8671909130626
Abbaiah Reddy Layout,2 BHK,1100.0,2.0,38.45,2,349.54545454545456
Ramagondanahalli,3 BHK,2257.0,4.0,157.0,3,695.6136464333185
Nagarbhavi,2 BHK,1055.0,2.0,55.0,2,521.3270142180095
Raja Rajeshwari Nagar,3 BHK,1530.0,3.0,51.87,3,339.01960784313724
Dinnur,3 BHK,1700.0,3.0,97.0,3,570.5882352941177
Raja Rajeshwari Nagar,3 BHK,1575.0,2.0,78.0,3,495.23809523809524
Frazer Town,3 BHK,3500.0,4.0,330.0,3,942.8571428571429
Rajiv Nagar,2 BHK,1263.0,2.0,93.32,2,738.8756927949327
KR Puram,3 BHK,1559.0,3.0,69.315,3,444.6119307248236
Kengeri Satellite Town,2 BHK,1043.0,2.0,65.0,2,623.2023010546501
Hennur,2 BHK,1255.0,2.0,53.5,2,426.2948207171315
JP Nagar,2 BHK,1352.5,2.0,93.865,2,694.0110905730129
Chandapura,1 BHK,590.0,1.0,13.57,1,230.0
Yelahanka,3 Bedroom,1550.0,3.0,120.0,3,774.1935483870968
